file,utterance_id,stt_transcript,llm_response,tts_output_path,stt_latency_s,llm_latency_s,tts_latency_s,total_latency_s,wer,cer,error
2128_audio1.wav,audio1,"Ya alqiy, Uridu bukflaik ilah jeddah al-usbu'al qadim hal bisa bantu ajidah afdal skedul warilhatan mubasyurah.","Untuk mencari jadwal penerbangan langsung terbaik ke Jeddah minggu depan, silakan cek di situs pemesanan tiket online seperti Traveloka atau Skyscanner. Anda akan menemukan berbagai pilihan penerbangan dan waktu yang sesuai.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2128_audio1_response.wav,5.327,10.177,12.545,28.054,,,
2128_audio10.wav,audio10,Jelaskan step-by-step cara booking flag ke Jeddah secara online.,"Pertama, buka situs pemesanan tiket seperti Traveloka atau situs maskapai, lalu masukkan detail penerbangan Anda seperti tujuan (Jeddah), tanggal, dan jumlah penumpang. Kemudian, pilih penerbangan yang cocok, isi data diri lengkap, dan selesaikan pembayaran untuk mendapatkan e-tiket Anda.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2128_audio10_response.wav,5.401,3.57,12.649,21.625,1.0,1.0,
2128_audio2.wav,audio2,uridu orange transport min jedda ila madida gadan,"Untuk transportasi dari Jeddah ke Madinah besok, Anda bisa menggunakan Kereta Cepat Haramain atau menyewa taksi/mobil pribadi. Kereta Cepat Haramain menawarkan perjalanan yang cepat dan nyaman.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2128_audio2_response.wav,4.804,3.962,11.734,20.504,,,
2128_audio3.wav,audio3,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?,"Tentu, untuk mengatur transportasi dari Jeddah ke Madinah besok, Anda bisa memesan tiket Kereta Cepat Haramain secara online atau langsung di stasiun. Alternatif lain adalah menyewa mobil dengan supir atau menggunakan layanan bus antarkota yang banyak tersedia.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2128_audio3_response.wav,5.274,1.95,12.085,19.313,,,
2128_audio4.wav,audio4,Explain step by step cara apply visa Saudi dengan benar.,"Untuk mengajukan visa Saudi, pertama tentukan jenis visa yang Anda perlukan dan siapkan dokumen seperti paspor, foto, serta surat undangan (jika ada). Kemudian, ajukan permohonan secara online melalui platform visa elektronik resmi atau situs Kementerian Luar Negeri Saudi, isi formulir, dan unggah semua dokumen yang diminta. Terakhir, bayar biaya visa, dan jika diperlukan, lakukan pengambilan sidik jari serta wawancara di pusat aplikasi visa terdekat.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2128_audio4_response.wav,4.79,3.104,14.98,22.879,,,
2128_audio5.wav,audio5,I want to book flag next week. Can you help schedule?,"Untuk memesan penerbangan minggu depan dan melihat jadwalnya, Anda bisa langsung mengunjungi situs pemesanan tiket online seperti Traveloka atau Skyscanner. Cukup masukkan tanggal dan tujuan Anda, nanti akan muncul berbagai pilihan penerbangan yang tersedia.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2128_audio5_response.wav,4.875,3.292,12.217,20.388,,,
2128_audio6.wav,audio6,"Aku butuh travel umrah simple, tapi include my dinner visit.","Untuk travel umrah yang sederhana namun menyertakan kunjungan ke Madain Saleh, Anda perlu mencari paket khusus yang memang menawarkan kombinasi ini. Madain Saleh (AlUla) terletak cukup jauh dari Makkah dan Madinah, sehingga biasanya memerlukan perjalanan terpisah atau paket umrah yang lebih panjang dan komprehensif.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2128_audio6_response.wav,4.888,2.873,12.881,20.649,,,
2128_audio7.wav,audio7,How to prepare Dokumen Umrah dari Indonesia dengan benar?,"Untuk menyiapkan dokumen Umrah dari Indonesia, pastikan paspor Anda berlaku minimal 6 bulan dengan setidaknya dua halaman kosong. Siapkan juga visa Umrah yang diurus melalui travel agent resmi, sertifikat vaksinasi meningitis, serta foto paspor dengan latar belakang putih. Jangan lupa KTP, Kartu Keluarga, dan akta nikah atau akta lahir jika diperlukan.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2128_audio7_response.wav,4.847,2.86,13.7,21.413,,,
2128_audio8.wav,audio8,Bagaimana proses visa Saudi untuk Umrah dari Indonesia sekarang?,"Saat ini, proses visa Umrah dari Indonesia umumnya dilakukan melalui biro perjalanan Umrah resmi. Anda perlu menyiapkan paspor yang masih berlaku, sertifikat vaksin meningitis, foto terbaru, dan dokumen pendukung lainnya. Biro perjalanan akan membantu mengajukan permohonan visa elektronik Anda kepada pemerintah Saudi.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2128_audio8_response.wav,4.842,2.764,14.321,21.94,,,
2128_audio9.wav,audio9,Get aku cara pilih hotel di Mekah dekat Haram dengan budget terbatas.,"Untuk memilih hotel di Mekah dekat Masjidil Haram dengan budget terbatas, coba cari hotel yang sedikit lebih jauh namun masih dalam jarak jalan kaki, atau yang menyediakan layanan shuttle gratis. Gunakan situs pembanding harga dan pesan jauh-jauh hari, serta perhatikan ulasan tamu untuk memastikan kenyamanan dan kebersihannya.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2128_audio9_response.wav,4.773,2.37,13.196,20.352,,,
